# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	512
#@/user_id	rime
hai 	還	c=1 d=0.965605 t=512
hai bu cuo 	還不錯	c=1 d=0.66365 t=512
hai bu shi 	還不是	c=1 d=0.733447 t=512
hai neng 	還能	c=0 d=0.0740818 t=512
hai shi 	還是	c=0 d=0.0814647 t=512
han guo 	韓國	c=5 d=2.41313 t=512
hang ye 	行業	c=2 d=1.43084 t=512
hao 	好	c=1 d=0.794534 t=512
hao 	晧	c=1 d=0.211189 t=512
hao ma 	號碼	c=1 d=0.265803 t=512
he 	何	c=1 d=0.529935 t=512
hen duo 	很多	c=1 d=0.882497 t=512
hen jian dan 	很簡單	c=1 d=0.99005 t=512
hou duan 	後端	c=2 d=0.642918 t=512
huan jing 	環境	c=1 d=0.519442 t=512
hui 	會	c=1 d=0.786628 t=512
hui fu 	恢復	c=1 d=0.26982 t=512
ji 	及	c=2 d=0.677601 t=512
ji 	雞	c=1 d=0.995012 t=512
ji liang kang jun 	吉粮康郡	c=1 d=0.750436 t=512
ji liang kang jun da shi dai 	吉粮康郡大時代	c=1 d=0.499074 t=512
ji liang kang jun li kai de fang 	吉粮康郡離開地方	c=1 d=0.574072 t=512
ji qi 	機器	c=1 d=0.737123 t=512
ji shu 	技術	c=0 d=0.0565525 t=512
ji wei 	極爲	c=1 d=0.474734 t=512
jia 	加	c=4 d=2.78156 t=512
jia ge 	價格	c=1 d=0.657047 t=512
jia kong suo dao 	架空索道	c=0 d=0.0499074 t=512
jia kong suo dao jiu 	架空索道就	c=2 d=1.10207 t=512
jia su 	加速	c=1 d=0.213312 t=512
jian 	件	c=1 d=0.535261 t=512
jian dan 	簡單	c=1 d=0.392586 t=512
jian kao jian 	肩靠肩	c=1 d=0.594521 t=512
jiang dao li 	講道理	c=0 d=0.0537944 t=512
jiang luo san 	降落傘	c=0 d=0.0559898 t=512
jiang luo san kang jing dian li kun shuai dai jie la kan dao 	降落傘抗靜電力困衰怠竭啦看到	c=1 d=0.562705 t=512
jiang nan 	江南	c=2 d=0.456486 t=512
jiang zhen 	講真	c=1 d=0.215456 t=512
jiao 	教	c=1 d=0.278037 t=512
jiao ao 	驕傲	c=0 d=0.0600496 t=512
jiao ao de 	驕傲的	c=0 d=0.122835 t=512
jiao hu 	交互	c=1 d=0.451581 t=512
jie la de 	傑拉德	c=0 d=0.0562705 t=512
jie la de kai sa jiang de 	傑拉德凱撒醬的	c=1 d=0.565525 t=512
